text,verb,explanation,madarian,romen,ro_correct,hanzi,han_correct,page,description,toggle
À,prép,Signe du datif et du rég. Indir.,在,’la,,拉,,1,,TRUE
À,prép,Signe du datif et du rég. Indir.,上,laong’,,上,,1,,TRUE
À,prép,Signe du datif et du rég. Indir.,对,tei’,,對,,1,,TRUE
À,prép,Signe du datif et du rég. Indir.,到,——,,到,,1,,TRUE
À,prép,Signe du datif et du rég. Indir.,照,tsao’,,照,,1,,TRUE
À,prép,Signe du datif et du rég. Indir.,里,’li,,裏,,1,,TRUE
À,prép,Dans:à la maison.,在家里,’la ôh’ li,’la ôh ’li,拉屋裏,,1,印刷錯誤,TRUE
À,prép,Sur:pendu à la maison.,挂在梁上,kouo’ ’la liang laong’,,掛拉梁上,,1,,TRUE
À,prép,"Vers,aller au sud.",向，朝南去,"hiang’,zao né k‘i’.",,向，朝南去,,1,,TRUE
À,prép,Jusqu’à ,到,tao’,,到,,1,,TRUE
À,prép,Jusqu’à aller au rivage.,走到岸,’tseû tao’ ngeu’,,走到岸,,1,,TRUE
À,prép,D’après,照,tsao’,,照,,1,,TRUE
À,prép,"D’après,à mon avis.",照我的意思,tsao’ ’ngou ke’ i’ se,,照我个意思,,1,,TRUE
À,prép,Deux à deux.,两两,’liang ke’ ’liang ke’,,兩个兩个,,1,,TRUE
Abaisser,va,,减低，下降,’hao,,下,,1,,TRUE
Abaisser,va,,放下来,faong’ ’hao lai,,放下來,,1,,TRUE
Abaisser,va,Mettre plus bas.,放低一点,faong’ ti ih ’ngè,,放低一眼,,1,,TRUE
Abaisser,va,Abaisser en tirant,拉低,’la ’hao lai,,拉下來,,1,,TRUE
Abaisser,va,Abaisser en laissant tomber.,下降,loh ’hao lai,,落下來,,1,,TRUE
Abaisser,va,(au fig.)Abaisser un fonctionnaire d’un degré.,降官员一级,kaong’ i ih kieh,,降伊一級,,1,,TRUE
Abaisser,va,(au mor.)Abaisser[l’orgueil].,贬抑,èh woh,èh woh,壓服,,1,,TRUE
Abaisser,va,(au mor.)Abaisser[l’orgueil].,贬抑,èh woh kiao ngao,èh woh kiao ngao’,壓服驕傲,,1,連讀,TRUE
Abandon,sm,(chose à l’).,无人照管，放任自流,m gnen ’koé,,無人管,嘸人管,1,,TRUE
Abandon,sm,Parler avec abandon.,谈吐奔放,"sin ’li ’siang sa’,’tse ’li wo’ sa’",,心裏想啥，嘴裏話啥,,1,,TRUE
Abandonné,pp,Sans appui.,无依无靠的,m i’ m k‘ao’ ke’,,無依無靠个,嘸依嘸靠个,1,,TRUE
Abandonné,pp,Sans moyens de guérison.,没有治愈的办法,m kieû’ ’tsé,,無救者,嘸救者,1,,TRUE
Abandonné,pp,Sans moyens de guérison.,没有治愈的办法,vè’ vè’ véh teh ’h‘ao.,,萬萬不得好,,1,,TRUE
Abandonné,pp,Abandonné du médecin,,laong tsong wei ’la ’tsé.,,郎中回拉者,,1,,TRUE
Abandonné,pp,Sans propriétaire,无主的,’ya ke’,,野个,,1,,TRUE
Abandonné,pp,Sans propriétaire,无主的,m gnen ka ke’,,無人家个,嘸人家个,1,,TRUE
Abandonner.,va,Quitter.,离开，丢掉,li k‘ai,,離開,,1,,TRUE
Abandonner.,va,Quitter.,离开，丢掉,tieû t‘éh,,丢脱,,1,,TRUE
Abandonner.,va,Quitter.,离开，丢掉,goè’ t‘éh,,甩脱,摜脱,1,,TRUE
Abandonner,va,Rejeter.Renoncer à.,放弃，舍弃,k‘i’ ziéh,,絶棄,棄絶,1,顺序。按照罗马字,TRUE
Abandonner,va,Rejeter.Renoncer à.,放弃，舍弃,p‘ao t‘éh,,拋脱,,1,,TRUE
Abandonner,va,N’avoir aucun soin.,遗弃，弃之不管,véh ’koé,,勿管,,1,,TRUE
Abandonner,va,N’avoir aucun soin.,遗弃，弃之不管,véh kou’,,勿顧,,1,,TRUE
Abandonner,va,S’Abandonner(perdre courage).,泄气,"m sin ’siang,",,無心想,嘸心想,2,,TRUE
Abandonner,va,S’Abandonner(perdre courage).,泄气,t‘è hieng’,,坍興,,2,,TRUE
Abandonner,va,S’Abandonner à son humeur.,任性,fèh bi k‘i’.,,發脾氣,,2,,TRUE
Abaque,,,算盘,seu’ bé,,算盤,,2,,TRUE
Abaque,,Compter snr l ’abaque,打算盘,’tang seu’ bé,,打算盤,,2,法文错误，snr应为sur。,TRUE
Abasourdir,va,,震耳欲聋,’gni ’tou ’li nao’ lai zang ’kien,,耳朵裏鬧來攘緊,耳朵裏鬧來？緊,2,,TRUE
Abasourdir,va,,震耳欲聋,’gni ’tou ’koe nao’ long,,耳朵管鬧聾,,2,,TRUE
Abâtardi,adj,,衰退，变质，变坏,pié’ k‘ieû,,變恘,,2,,TRUE
Abâtardi,adj,,衰退，变质，变坏,pié’ wa’ ’tsé,,變壞者,,2,原作“變壤者”,TRUE
Abat-jour,sm,,灯罩,teng tsao’,,燈罩,,2,,TRUE
Abat-jour,sm,,灯罩,teng mao’ ’tse,,燈帽子,,2,,TRUE
Abattoir,sm,,屠宰场,sèh gneû zang,,殺牛場,,2,,TRUE
Abattoir,sm,,屠宰场,sèh gneû tsoh,,殺牛作,,2,,TRUE
Abattre,va,Renverser,推倒,’tang ’tao,,打倒,,2,,TRUE
Abattre,va,Démolir,拆毁，破坏,ts‘ah t‘éh,,折脱,,2,,TRUE
Abattre,va,Démolir,拆毁，破坏,bouo t‘è,,爬坍,？坍,2,,TRUE
Abattre,va,Couper[Abattre un arbre.],砍倒一棵树,’k‘é zu’,,砍樹,,2,,TRUE
