vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
shia倭脸(shia倭臉),卸猢臉,花脸（花臉）,推薦寫法爲“卸倭臉”,拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
shia倭脸(shia倭臉),俠糊臉,肮脏的脸（骯髒的臉）,卸倭臉,拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿爸(阿爸),阿爸,父亲（父親）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿爸，对外称公阿爹(阿爸，對外稱公阿爹),阿爸，對外稱公阿爹,阿公（阿公）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿爸，对外称丈人、老丈人(阿爸，對外稱丈人、老丈人),阿爸，對外稱丈人、老丈人,岳父（岳父）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿爸、背称公阿爹(阿爸、背稱公阿爹),阿爸、背稱公阿爹,阿公（阿公）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿爸、背称丈人(阿爸、背稱丈人),阿爸、背稱丈人,岳父（岳父）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿爸、爹（背称爷、老头子）(阿爸、爹（背稱爺、老頭子）),阿爸、爹（背稱爺、老頭子）,父亲（父親）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿哥、大佬(阿哥、大佬),阿哥、大佬,兄长（兄長）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿舅(阿舅),阿舅,妻子的哥弟（妻子的哥弟）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿妈、姆妈(阿媽、姆媽),阿媽、姆媽,母亲（母親）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿妈、姆妈、娘、阿妈娘(阿媽、姆媽、娘、阿媽娘),阿媽、姆媽、娘、阿媽娘,母亲（母親）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿奶(阿奶),阿奶,祖母（祖母）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿奶(阿奶),阿奶,母（母）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿奶、外婆阿奶(阿奶、外婆阿奶),阿奶、外婆阿奶,外祖母（外祖母）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿奶、外婆阿奶(阿奶、外婆阿奶),阿奶、外婆阿奶, 外祖母（外祖母）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿屈死(阿屈死),阿屈死,自以为门槛精（自以爲門檻精）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
阿叔、爷叔、叔叔(阿叔、爺叔、叔叔),阿叔、爺叔、叔叔,叔父（叔父）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿太、太太、老太太(阿太、太太、老太太),阿太、太太、老太太,曾祖父、曾祖母及高祖父、高祖母（曾祖父、曾祖母及高祖父、高祖母）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿姨妹妹(阿姨妹妹),阿姨妹妹,妻子的妹妹（妻子的妹妹）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
阿侄(阿侄),阿侄,侄子。哥弟的儿子（侄子。哥弟的兒子）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
啊胡(啊胡),啊胡,咬人的动物，常用以吓唬不听话的小孩（咬人的動物，常用以嚇唬不聽話的小孩）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
挨模样(挨模樣),挨模樣,差不多（差不多）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,七宝镇志,TRUE,shanghaixian,shanghaixian_qibao
挨泥钎(挨泥釺),挨泥釺,挖土铁锹（挖土鐵鍬）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
捱(捱),捱,加入、入伙，如侬也想挨一脚（加入、入夥，如儂也想捱一腳）,[暂无],拼音暂无(IPA暂无),华娄小片,上海·七宝,九星村志,TRUE,shanghaixian,shanghaixian_qibao
